X2,X3,X4,FN,FP,TN,TP
1,0,1,0,0,1,0
1,0,2,0,0,3,0
1,1,1,76,15,370,32
1,1,2,96,24,602,53
1,1,3,1,0,7,0
1,2,0,0,0,1,0
1,2,1,118,19,532,79
1,2,2,144,48,642,86
1,2,3,5,1,8,2
1,3,0,1,0,2,0
1,3,1,48,11,228,45
1,3,2,39,13,189,26
1,3,3,2,1,5,1
1,4,1,1,0,2,0
1,4,2,1,0,10,0
1,4,3,0,0,1,0
1,5,1,1,1,11,0
1,5,2,0,2,11,0
1,6,1,0,0,2,0
1,6,2,0,0,2,0
2,0,2,0,0,2,0
2,1,0,0,0,1,0
2,1,1,77,11,476,37
2,1,2,166,26,964,61
2,1,3,0,0,7,0
2,2,0,0,0,1,0
2,2,1,182,53,974,132
2,2,2,161,47,930,101
2,2,3,2,0,22,5
2,3,0,0,2,14,0
2,3,1,73,27,350,45
2,3,2,44,14,222,35
2,3,3,3,1,16,1
2,4,1,0,0,9,0
2,4,2,1,0,15,0
2,5,1,2,1,28,1
2,5,2,3,0,26,0
2,5,3,0,0,1,0
2,6,1,0,0,0,1
2,6,2,1,0,4,0
2,6,3,0,0,1,0
